backbone.backbone.downsample_layers.0.conv1.weight	(48, 3, 3, 3)
backbone.backbone.downsample_layers.0.conv1.bias	(48,)
backbone.backbone.downsample_layers.0.norm1.weight	(48,)
backbone.backbone.downsample_layers.0.norm1.bias	(48,)
backbone.backbone.downsample_layers.0.conv2.weight	(96, 48, 3, 3)
backbone.backbone.downsample_layers.0.conv2.bias	(96,)
backbone.backbone.downsample_layers.0.norm2.weight	(96,)
backbone.backbone.downsample_layers.0.norm2.bias	(96,)
backbone.backbone.downsample_layers.1.conv.weight	(192, 96, 3, 3)
backbone.backbone.downsample_layers.1.conv.bias	(192,)
backbone.backbone.downsample_layers.1.norm.weight	(192,)
backbone.backbone.downsample_layers.1.norm.bias	(192,)
backbone.backbone.downsample_layers.2.conv.weight	(384, 192, 3, 3)
backbone.backbone.downsample_layers.2.conv.bias	(384,)
backbone.backbone.downsample_layers.2.norm.weight	(384,)
backbone.backbone.downsample_layers.2.norm.bias	(384,)
backbone.backbone.downsample_layers.3.conv.weight	(576, 384, 3, 3)
backbone.backbone.downsample_layers.3.conv.bias	(576,)
backbone.backbone.downsample_layers.3.norm.weight	(576,)
backbone.backbone.downsample_layers.3.norm.bias	(576,)
backbone.backbone.stages.0.0.norm.weight	(96,)
backbone.backbone.stages.0.0.norm.bias	(96,)
backbone.backbone.stages.0.0.fc1.weight	(512, 96)
backbone.backbone.stages.0.0.fc1.bias	(512,)
backbone.backbone.stages.0.0.conv.weight	(96, 1, 7, 7)
backbone.backbone.stages.0.0.conv.bias	(96,)
backbone.backbone.stages.0.0.fc2.weight	(96, 256)
backbone.backbone.stages.0.0.fc2.bias	(96,)
backbone.backbone.stages.0.1.norm.weight	(96,)
backbone.backbone.stages.0.1.norm.bias	(96,)
backbone.backbone.stages.0.1.fc1.weight	(512, 96)
backbone.backbone.stages.0.1.fc1.bias	(512,)
backbone.backbone.stages.0.1.conv.weight	(96, 1, 7, 7)
backbone.backbone.stages.0.1.conv.bias	(96,)
backbone.backbone.stages.0.1.fc2.weight	(96, 256)
backbone.backbone.stages.0.1.fc2.bias	(96,)
backbone.backbone.stages.0.2.norm.weight	(96,)
backbone.backbone.stages.0.2.norm.bias	(96,)
backbone.backbone.stages.0.2.fc1.weight	(512, 96)
backbone.backbone.stages.0.2.fc1.bias	(512,)
backbone.backbone.stages.0.2.conv.weight	(96, 1, 7, 7)
backbone.backbone.stages.0.2.conv.bias	(96,)
backbone.backbone.stages.0.2.fc2.weight	(96, 256)
backbone.backbone.stages.0.2.fc2.bias	(96,)
backbone.backbone.stages.1.0.norm.weight	(192,)
backbone.backbone.stages.1.0.norm.bias	(192,)
backbone.backbone.stages.1.0.fc1.weight	(1024, 192)
backbone.backbone.stages.1.0.fc1.bias	(1024,)
backbone.backbone.stages.1.0.conv.weight	(192, 1, 7, 7)
backbone.backbone.stages.1.0.conv.bias	(192,)
backbone.backbone.stages.1.0.fc2.weight	(192, 512)
backbone.backbone.stages.1.0.fc2.bias	(192,)
backbone.backbone.stages.1.1.norm.weight	(192,)
backbone.backbone.stages.1.1.norm.bias	(192,)
backbone.backbone.stages.1.1.fc1.weight	(1024, 192)
backbone.backbone.stages.1.1.fc1.bias	(1024,)
backbone.backbone.stages.1.1.conv.weight	(192, 1, 7, 7)
backbone.backbone.stages.1.1.conv.bias	(192,)
backbone.backbone.stages.1.1.fc2.weight	(192, 512)
backbone.backbone.stages.1.1.fc2.bias	(192,)
backbone.backbone.stages.1.2.norm.weight	(192,)
backbone.backbone.stages.1.2.norm.bias	(192,)
backbone.backbone.stages.1.2.fc1.weight	(1024, 192)
backbone.backbone.stages.1.2.fc1.bias	(1024,)
backbone.backbone.stages.1.2.conv.weight	(192, 1, 7, 7)
backbone.backbone.stages.1.2.conv.bias	(192,)
backbone.backbone.stages.1.2.fc2.weight	(192, 512)
backbone.backbone.stages.1.2.fc2.bias	(192,)
backbone.backbone.stages.1.3.norm.weight	(192,)
backbone.backbone.stages.1.3.norm.bias	(192,)
backbone.backbone.stages.1.3.fc1.weight	(1024, 192)
backbone.backbone.stages.1.3.fc1.bias	(1024,)
backbone.backbone.stages.1.3.conv.weight	(192, 1, 7, 7)
backbone.backbone.stages.1.3.conv.bias	(192,)
backbone.backbone.stages.1.3.fc2.weight	(192, 512)
backbone.backbone.stages.1.3.fc2.bias	(192,)
backbone.backbone.stages.2.0.norm.weight	(384,)
backbone.backbone.stages.2.0.norm.bias	(384,)
backbone.backbone.stages.2.0.fc1.weight	(2048, 384)
backbone.backbone.stages.2.0.fc1.bias	(2048,)
backbone.backbone.stages.2.0.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.0.conv.bias	(384,)
backbone.backbone.stages.2.0.fc2.weight	(384, 1024)
