decode_head.pixel_decoder.encoder.layers.0.norms.0.weight	(256,)
decode_head.pixel_decoder.encoder.layers.0.norms.0.bias	(256,)
decode_head.pixel_decoder.encoder.layers.0.norms.1.weight	(256,)
decode_head.pixel_decoder.encoder.layers.0.norms.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.1.self_attn.sampling_offsets.weight	(192, 256)
decode_head.pixel_decoder.encoder.layers.1.self_attn.sampling_offsets.bias	(192,)
decode_head.pixel_decoder.encoder.layers.1.self_attn.attention_weights.weight	(96, 256)
decode_head.pixel_decoder.encoder.layers.1.self_attn.attention_weights.bias	(96,)
decode_head.pixel_decoder.encoder.layers.1.self_attn.value_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.1.self_attn.value_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.1.self_attn.output_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.1.self_attn.output_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.1.ffn.layers.0.0.weight	(1024, 256)
decode_head.pixel_decoder.encoder.layers.1.ffn.layers.0.0.bias	(1024,)
decode_head.pixel_decoder.encoder.layers.1.ffn.layers.1.weight	(256, 1024)
decode_head.pixel_decoder.encoder.layers.1.ffn.layers.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.1.norms.0.weight	(256,)
decode_head.pixel_decoder.encoder.layers.1.norms.0.bias	(256,)
decode_head.pixel_decoder.encoder.layers.1.norms.1.weight	(256,)
decode_head.pixel_decoder.encoder.layers.1.norms.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.2.self_attn.sampling_offsets.weight	(192, 256)
decode_head.pixel_decoder.encoder.layers.2.self_attn.sampling_offsets.bias	(192,)
decode_head.pixel_decoder.encoder.layers.2.self_attn.attention_weights.weight	(96, 256)
decode_head.pixel_decoder.encoder.layers.2.self_attn.attention_weights.bias	(96,)
decode_head.pixel_decoder.encoder.layers.2.self_attn.value_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.2.self_attn.value_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.2.self_attn.output_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.2.self_attn.output_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.2.ffn.layers.0.0.weight	(1024, 256)
decode_head.pixel_decoder.encoder.layers.2.ffn.layers.0.0.bias	(1024,)
decode_head.pixel_decoder.encoder.layers.2.ffn.layers.1.weight	(256, 1024)
decode_head.pixel_decoder.encoder.layers.2.ffn.layers.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.2.norms.0.weight	(256,)
decode_head.pixel_decoder.encoder.layers.2.norms.0.bias	(256,)
decode_head.pixel_decoder.encoder.layers.2.norms.1.weight	(256,)
decode_head.pixel_decoder.encoder.layers.2.norms.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.3.self_attn.sampling_offsets.weight	(192, 256)
decode_head.pixel_decoder.encoder.layers.3.self_attn.sampling_offsets.bias	(192,)
decode_head.pixel_decoder.encoder.layers.3.self_attn.attention_weights.weight	(96, 256)
decode_head.pixel_decoder.encoder.layers.3.self_attn.attention_weights.bias	(96,)
decode_head.pixel_decoder.encoder.layers.3.self_attn.value_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.3.self_attn.value_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.3.self_attn.output_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.3.self_attn.output_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.3.ffn.layers.0.0.weight	(1024, 256)
decode_head.pixel_decoder.encoder.layers.3.ffn.layers.0.0.bias	(1024,)
decode_head.pixel_decoder.encoder.layers.3.ffn.layers.1.weight	(256, 1024)
decode_head.pixel_decoder.encoder.layers.3.ffn.layers.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.3.norms.0.weight	(256,)
decode_head.pixel_decoder.encoder.layers.3.norms.0.bias	(256,)
decode_head.pixel_decoder.encoder.layers.3.norms.1.weight	(256,)
decode_head.pixel_decoder.encoder.layers.3.norms.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.4.self_attn.sampling_offsets.weight	(192, 256)
decode_head.pixel_decoder.encoder.layers.4.self_attn.sampling_offsets.bias	(192,)
decode_head.pixel_decoder.encoder.layers.4.self_attn.attention_weights.weight	(96, 256)
decode_head.pixel_decoder.encoder.layers.4.self_attn.attention_weights.bias	(96,)
decode_head.pixel_decoder.encoder.layers.4.self_attn.value_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.4.self_attn.value_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.4.self_attn.output_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.4.self_attn.output_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.4.ffn.layers.0.0.weight	(1024, 256)
decode_head.pixel_decoder.encoder.layers.4.ffn.layers.0.0.bias	(1024,)
decode_head.pixel_decoder.encoder.layers.4.ffn.layers.1.weight	(256, 1024)
decode_head.pixel_decoder.encoder.layers.4.ffn.layers.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.4.norms.0.weight	(256,)
decode_head.pixel_decoder.encoder.layers.4.norms.0.bias	(256,)
decode_head.pixel_decoder.encoder.layers.4.norms.1.weight	(256,)
decode_head.pixel_decoder.encoder.layers.4.norms.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.5.self_attn.sampling_offsets.weight	(192, 256)
decode_head.pixel_decoder.encoder.layers.5.self_attn.sampling_offsets.bias	(192,)
decode_head.pixel_decoder.encoder.layers.5.self_attn.attention_weights.weight	(96, 256)
decode_head.pixel_decoder.encoder.layers.5.self_attn.attention_weights.bias	(96,)
decode_head.pixel_decoder.encoder.layers.5.self_attn.value_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.5.self_attn.value_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.5.self_attn.output_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.5.self_attn.output_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.5.ffn.layers.0.0.weight	(1024, 256)
